,Breed,Description,Group,Origin,Life Expectancy,Related Breeds,Temperament,Adaptability Level,Affectionate With Family,Barking Level,Coat Grooming Frequency,Good with Young Children,Coat Length,Coat Type,Drooling Level,Energy Level,Good With Other Dogs,Mental Stimulation Needs,Openness to Strangers,Playfulness Level,Shedding Level,Trainability Level,Min Height,Max Height,Min Weight,Max Weight
179,Mudi,"<p>The Mudi is an extremely versatile, intelligent, alert, agile, all-purpose Hungarian farm dog. His courage is useful for working the most stubborn livestock. The breed is a loyal protector of property and family members without being overly aggressive.</p>",Herding Group,Hungary,12-14 years,"Croatian Sheepdog, Pumi, Pyrenean Shepherd, Border Collie, Puli",loyal / intelligent / active,4,5,4,1,3,0,['Curly'],2,5,3,4,3,5,2,5,15,18.5,18,29
180,Neapolitan Mastiff,"The Neapolitan Mastiff is a huge, powerful guarder whose astounding appearance has intimidated intruders since the days of ancient Rome. Wary with strangers, the profusely wrinkled Mastino is sweet, placid, and steady among loved ones.",Working Group,Italy,7-9 years,"Cane Corso, Mastiff, Rottweiler, Bullmastiff, Dogue de Bordeaux",dignified / loyal / watchful,3,3,1,2,3,0,['Smooth'],5,2,3,3,3,2,3,3,24,31,110,150
181,Nederlandse Kooikerhondje,"<p>The Nederlandse Kooikerhondje is lively, agile, self-confident, good-natured and alert. The breed is faithful, easy-going and friendly in the home. Outdoors he is a true sporting dog being keen, swift, tough, attentive and energetic. With sufficient perseverance and stamina, he enjoys working and does so with a cheerful character.</p>",Sporting Group,The Netherlands,12-15 years,"Nova Scotia Duck Tolling Retriever, Brittany, Chesapeake Bay Retriever, Drentsche Patrijshond, Welsh Springer Spaniel",alert / friendly / quick,4,5,3,2,3,0,"['Wavy', 'Double']",2,4,3,4,4,3,3,5,15,16,20,30
182,Newfoundland,"<p>The massive Newfoundland is a strikingly large, powerful working dog of heavy bone and dignified bearing. The sweet-tempered Newfie is a famously good companion and has earned a reputation as a patient and watchful 'nanny dog' for kids.</p>",Working Group,Canada,9-10 years,"Bernese Mountain Dog, Leonberger, Tornjak, Estrela Mountain Dog, Saint Bernard",devoted / sweet / patient,4,5,1,2,5,0,['Double'],5,3,5,3,5,3,3,3,26,28,100,150
183,Norfolk Terrier,"Norfolk Terriers are little, cute, and loyal, and they will gladly curl up in your lap, but don't dare call them lapdogs. Norfolks, despite their toyish qualities, are genuine terriers'feisty, confident, sturdy, and game for adventure.",Terrier Group,England,12-16 years,"Norwich Terrier, Glen of Imaal Terrier, West Highland White Terrier, Cairn Terrier, Sealyham Terrier",alert / fearless / fun-loving,4,5,4,2,5,0,"['Double', 'Wiry']",1,4,3,4,5,4,3,3,9,10,11,12
184,Norrbottenspets,"<p>The Norrbottenspets is a small, slightly rectangular spitzdog, well poised, with sinewy and well-developed muscles. Alert with head carried high, they have a fearless attitude and are extremely agile. They are calm, keen, and attentive, with a kind disposition.</p>",Miscellaneous Class,Norway,14-17 years,"Norwegian Lundehund, Danish-Swedish Farmdog, Yakutian Laika, Finnish Lapphund, Swedish Vallhund",fearless / agile / attentive,4,5,3,2,3,0,['Double'],1,4,3,3,3,3,3,4,16.5,18,20,30
185,Norwegian Buhund,"The densely coated Nowegian Buhund, a Nordic spitz-type closely associated with the Vikings, is a medium-sized cold-weather worker adept at herding and guarding. As family dogs, Buhunds are smart, affectionate, and steadfastly devoted.",Herding Group,Norway,12-15 years,"Norwegian Elkhound, Swedish Lapphund, Hokkaido, Eurasier, Finnish Spitz",confident / smart / perceptive,4,5,4,2,3,0,['Double'],1,4,3,4,3,3,3,3,16,18.5,26,40
186,Norwegian Elkhound,The Norwegian Elkhound is a robust spitz type known for his lush silver-gray coat and dignified but friendly demeanor. The durable Elkhound is among Europe's oldest dogs. They sailed with the Vikings and figure in Norse art and legend.,Hound Group,Norway,12-15 years,"Norwegian Buhund, Swedish Lapphund, Shikoku, Karelian Bear Dog, Finnish Spitz",friendly / confident / dependable,4,5,4,2,3,0,['Double'],2,4,3,4,4,4,3,4,19.5,20.5,48,55
187,Norwegian Lundehund,"<p>From Norway's rocky island of Vaeroy, the uniquely constructed Norwegian Lundehund is the only dog breed created for the job of puffin hunting. With puffins now a protected species, today's Lundehund is a friendly, athletic companion.</p>",Non-Sporting Group,Norway,12-15 years,"Swedish Vallhund, Finnish Lapphund, Norwegian Buhund, Norrbottenspets, Icelandic Sheepdog",alert / loyal / energetic,3,5,4,2,3,0,['Double'],1,3,3,3,3,3,3,3,12,15,12,18
188,Norwich Terrier,"<p>Norwich Terriers are plucky little earthdogs named for their hometown in England. The old cliche ""a big dog in a small package"" was coined for breeds like the Norwich, who can be oblivious to the fact that they are just 10 inches tall.</p>",Terrier Group,England,12-15 years,"Border Terrier, Norfolk Terrier, Australian Terrier, West Highland White Terrier, Cairn Terrier",alert / curious / loyal / affectionate / gregarious,4,5,4,2,5,0,"['Double', 'Wiry']",1,4,3,4,5,4,3,3,10,10,12,12
189,Nova Scotia Duck Tolling Retriever,"The smallest of the AKC's retrievers, the Nova Scotia Duck Tolling Retriever is intelligent, affectionate, and eager to please. Play fetch with a tireless Toller until your right arm falls off, and he will ask you to throw left-handed.",Sporting Group,Canada,12-14 years,"Nederlandse Kooikerhondje, Curly-Coated Retriever, Flat-Coated Retriever, Golden Retriever, Labrador Retriever",intelligent / affectionate / outgoing,4,5,2,2,5,0,['Double'],2,5,4,4,3,5,3,5,17,21,35,50
190,Old English Sheepdog,"<p>The Old English Sheepdog is the archetypical shaggy dog, famous for his profuse coat and peak-a-boo hairdo, a distinctive bear-like gait, and a mellow, agreeable nature. The OES is a big, agile dog who enjoys exploring and a good romp.</p>",Herding Group,England,10-12 years,"Briard, Polish Lowland Sheepdog, Schapendoes, Bergamasco Sheepdog, Bearded Collie",smart / gentle / adaptable,4,5,3,4,5,0,['Double'],3,3,3,4,3,4,3,4,21,22,60,100
191,Otterhound,"Big, boisterous, and affectionate, the Otterhound was bred in medieval England for the now-outlawed activity of otter hunting. This scarce breed is known for his dense shaggy coat, webbed feet, acute sense of smell, and affinity for swimming.",Hound Group,England,10-13 years,"Grand Basset Griffon Vendéen, Wirehaired Pointing Griffon, German Wirehaired Pointer, Wirehaired Vizsla, Slovakian Wirehaired Pointer",even-tempered / amiable / boisterous,4,5,5,2,3,0,"['Double', 'Rough']",3,3,3,3,4,3,2,4,24,27,80,115
192,Papillon,"The quick, curious Papillon is a toy dog of singular beauty and upbeat athleticism. Despite his refined appearance, the Pap is truly a 'doggy dog' blessed with a hardy constitution. Papillon fanciers describe their breed as happy, alert, and friendly.",Toy Group,France,14-16 years,"Russian Toy, Toy Fox Terrier, Chihuahua, Japanese Chin",alert / friendly / happy,5,5,5,2,5,0,['Silky'],1,4,3,5,5,5,3,5,8,11,5,10
193,Parson Russell Terrier,"The Parson Russell Terrier is a bold and clever terrier, swift enough to run with horses and fearless enough to dig in and flush a fox from his lair. Independent problem solvers, PRTs can have their own ideas on how to go about things.",Terrier Group,England,13-15 years,"Russell Terrier, Jagdterrier, Danish-Swedish Farmdog, Wire Fox Terrier, Smooth Fox Terrier",friendly / clever / athletic,4,5,3,2,3,0,"['Double', 'Smooth']",1,5,5,4,3,4,2,4,13,14,13,17
194,Pekingese,"The Pekingese, a compact toy companion of regal bearing and a distinctive rolling gait, is one of several breeds created for the ruling classes of ancient China. These are sophisticated dogs of undying loyalty and many subtle delights.",Toy Group,China,12-14 years,"Shih Tzu, Chinese Crested, English Toy Spaniel, Tibetan Spaniel, Japanese Chin",loyal / affectionate / regal in manner,4,5,1,3,3,0,['Double'],1,3,3,3,3,4,3,3,6,9,14,14
195,Pembroke Welsh Corgi,"Among the most agreeable of all small housedogs, the Pembroke Welsh Corgi is a strong, athletic, and lively little herder who is affectionate and companionable without being needy. They are one the world's most popular herding breeds.",Herding Group,Wales,12-13 years,"Cardigan Welsh Corgi, Drever, Teddy Roosevelt Terrier, Swedish Vallhund, Dachshund",alert / affectionate / smart,4,5,4,2,3,0,['Double'],1,4,4,4,4,4,4,4,10,12,28,30
196,Peruvian Inca Orchid,"<p>Agile, smart and swift, the Peruvian Inca Orchid is an elegant sighthound that developed in Peru. The breed can be hairless or coated, and comes in three sizes: small, medium and large. Lively and alert, these dogs can be very good hunters and do well in lure coursing, rally and agility. In the hairless variety, the skin can be of any color. In the coated variety, all colors are accepted including black, brown, gray, pink, tan and white.</p>",Miscellaneous Class,Peru,12-14 years,"Greyhound, Chinese Crested, Whippet, American Hairless Terrier, Xoloitzcuintli",loyal / affectionate / noble,3,5,3,1,3,0,"['Smooth', 'Hairless']",1,4,3,4,3,3,1,3,9.75,9.75,8.5,8.5
197,Petit Basset Griffon Vendéen,"<p>The low-slung, shaggy-coated Petit Basset Griffon Vendéen is a vivacious French rabbit-hunting hound known for a happy demeanor and durable constitution. Bred to work in a pack, PBGVs enjoy company and do well with other dogs and kids.</p>",Hound Group,France,14-16 years,"Grand Basset Griffon Vendéen, Basset Fauve de Bretagne, Dachshund, Basset Hound, Otterhound",alert / happy / vivacious,4,4,5,2,5,0,"['Double', 'Rough']",2,4,5,4,4,4,2,3,13,15,25,40
198,Pharaoh Hound,"<p>The Pharaoh Hound, ancient ""Blushing Dog"" of Malta, is an elegant but rugged sprinting hound bred to course small game over punishing terrain. Quick and tenacious on scent, these friendly, affectionate hounds settle down nicely at home.</p>",Hound Group,Malta,12-14 years,"Portuguese Podengo, Greyhound, Saluki, Azawakh, Ibizan Hound",friendly / smart / noble,3,5,3,2,3,0,['Smooth'],1,4,5,4,3,3,3,4,21,25,45,55
199,Plott Hound,"The Plott, a hound with a curious name and a unique history, is a rugged, relentless hunting dog who is a mellow gentleman at home but fearless, implacable, and bold at work. This eye-catching scenthound is North Carolina's state dog.",Hound Group,United States,12-14 years,"Hanoverian Scenthound, Bavarian Mountain Scent Hound, Mountain Cur, Transylvanian Hound",Loyal / Alert / Intelligent,4,5,4,1,3,0,['Smooth'],2,4,5,3,4,3,2,4,20,25,40,60
200,Pointer,"The Pointer is the ultimate expression of canine power and grace. The breed's name is its job description: Pointers point game birds, and they have been pointing for centuries. The high-energy Pointer is an excellent runner's companion.",Sporting Group,England,12-17 years,"Portuguese Pointer, German Shorthaired Pointer, Slovakian Wirehaired Pointer, Pudelpointer, Braque du Bourbonnais",loyal / hardworking / even-tempered,4,5,3,2,3,0,['Smooth'],2,4,5,4,4,4,3,5,23,28,45,75
201,Polish Lowland Sheepdog,"A shaggy-coated herding dog who thrives on exercise and hard work, the Polish Lowland Sheepdog is clever, confident, and a bit stubborn. Compact, alert, and adaptable, they are beloved companions and watchdogs of Polish city dwellers.",Herding Group,Poland,12-14 years,"Bearded Collie, Schapendoes, Portuguese Sheepdog, Romanian Mioritic Shepherd Dog, Old English Sheepdog",confident / lively / clever,5,5,4,4,3,0,['Double'],2,3,3,4,3,4,2,4,17,20,30,50
202,Pomeranian,"The tiny Pomeranian, long a favorite of royals and commoners alike, has been called the ideal companion. The glorious coat, smiling, foxy face, and vivacious personality have helped make the Pom one of the world's most popular toy breeds.",Toy Group,Iceland,12-16 years,"German Spitz, Papillon, Pekingese, Keeshond",inquisitive / lively / bold,4,5,4,3,3,0,['Double'],1,3,3,3,3,3,2,3,6,7,3,7
203,Pont-Audemer Spaniel,"<p>The Pont-Audemer Spaniel is used to hunt a variety of fowl. &nbsp;They are a medium size dog. It's a rustic and courageous dog, a faithful companion who is intelligent and unique.</p>",Foundation Stock Service,France,12-14 years,Irish Water Spaniel,affectionate / gentle / fun-loving,5,5,1,3,4,0,[],1,3,5,3,3,4,3,4,20,23,33,48
204,Poodle (Miniature),"<p>Whether Standard, Miniature, or Toy, and either black, white, or apricot, the Poodle stands proudly among dogdom's true aristocrats. Beneath the curly, hypoallergenic coat is an elegant athlete and companion for all reasons and seasons.</p>",Non-Sporting Group,Germany,10-18 years,"Lagotto Romagnolo, Irish Water Spaniel, Spanish Water Dog, Portuguese Water Dog, Barbet",active / proud / very smart,4,5,4,4,5,0,['Curly'],1,4,3,5,5,5,1,5,10,15,10,15
205,Poodle (Standard),"<p>Whether Standard, Miniature, or Toy, and either black, white, or apricot, the Poodle stands proudly among dogdom's true aristocrats. Beneath the curly, low-allergen coat is an elegant athlete and companion for all reasons and seasons.</p>",Non-Sporting Group,Germany,10-18 years,"Lagotto Romagnolo, Irish Water Spaniel, Spanish Water Dog, Portuguese Water Dog, Barbet",active / proud / very smart,4,5,4,4,5,0,['Curly'],1,4,3,5,5,5,1,5,15,15,40,70
206,Poodle (Toy),"<p>Despite his diminutive size, the Toy Poodle stands proudly among dogdom's true aristocrats. Beneath the curly, low-allergen coat is an elegant athlete and companion for all reasons and seasons.</p>",Toy Group,Germany,10-18 years,"Poodle (Standard), Papillon, Bichon Frise, Pomeranian, Manchester Terrier (Toy)",intelligent / agile / self-confident,4,5,4,4,5,0,['Curly'],1,4,3,5,5,5,1,5,10,10,4,6
207,Porcelaine,"<p>The Porcelaine is elegant, energetic, and a fierce hunter; he is used for small game, driving it to waiting guns. He is very fond of his owners, family, friends and children and he loves to take part in all family activities. He excels as a house pet and is easily crate trained and housebroken.</p>",Foundation Stock Service,France,12-13 years,"Harrier, Braque du Bourbonnais, Bloodhound, Segugio Italiano, Basset Hound",independent / energetic / powerful,4,5,2,1,5,0,['Smooth'],3,4,5,4,5,5,3,5,22,23,55,62
208,Portuguese Podengo,"<p>Portuguese Podengos are lively, agile, playful, alert, highly intelligent but not always easy to train, independent yet loving with the family and sometimes suspicious of strangers. The breed's two sizes have different jobs: the larger hunts deer and boar and the medium-sized hunts rabbit. In the U.S, they are successful in coursing, agility, nose work, barn hunt, rally and in the conformation ring.</p>",Miscellaneous Class,Portugal,10-15 years,"Portuguese Podengo Pequeno, Portuguese Sheepdog, Portuguese Pointer, Pharaoh Hound, Ibizan Hound",alert / independent / intelligent,4,5,3,2,5,0,"['Smooth', 'Wiry']",1,4,5,4,3,4,3,3,22,22,44,44
209,Portuguese Podengo Pequeno,"Classified as a hound, the alert and playful little Portuguese Podengo Pequeno is a quick, athletic rabbit hunter of ancient lineage. Pequenos love to run, romp, and chase when outdoors but make charming and well-mannered housemates.",Hound Group,Portugal,12-15 years,"Portuguese Podengo, Petit Basset Griffon Vendéen, Australian Terrier, Jagdterrier, Dachshund",playful / charming / lively,4,5,3,2,5,0,"['Smooth', 'Wiry']",1,4,5,4,3,4,3,3,8,12,9,13
210,Portuguese Pointer,<p>The Portuguese Pointer is a very old hunting breed bred to work closely with its handler. They are enthusiastic in their work and very dedicated to their owner.</p>,Foundation Stock Service,Portugal,14 years,"German Shorthaired Pointer, Pointer, Braque du Bourbonnais, Braque Francais Pyrenean, Pudelpointer",energetic / affectionate / smart,4,5,3,1,5,0,['Smooth'],2,5,3,5,4,4,3,5,20.5,22,35,59
211,Portuguese Sheepdog,"<p>The Portuguese Sheepdog is exceptionally intelligent and lively. Very devoted to the shepherd and his herd, he can be somewhat wary of strangers and vigilant at night. Today, he is also an excellent companion, sporting and guard dog. He is known for his skillful ability to keep livestock in pastures and also for searching out stray animals. He is always vigilant and successfully alerts if predators are in the area. This breed is extremely devoted to its work and conducts it with joy and pleasure.</p>",Foundation Stock Service,Portugal,12-13 years,"Rafeiro do Alentejo, Schapendoes, Polish Lowland Sheepdog, Bergamasco Sheepdog, Pyrenean Shepherd",intelligent / devoted / lively,4,5,3,2,3,0,['Wavy'],2,4,3,4,3,3,2,5,16.5,21.5,37.5,59
212,Portuguese Water Dog,"<p>The bright and biddable Portuguese Water Dog was bred to be an all-around fisherman's helper. The robust, medium-sized body is covered by a coat of tight, low-shedding curls. PWDs are eager and athletic companions built for water work.</p>",Working Group,Portugal,11-13 years,"Irish Water Spaniel, Barbet, Spanish Water Dog, American Water Spaniel",affectionate / adventurous / athletic,5,5,3,4,5,0,"['Wavy', 'Curly']",2,5,4,5,4,5,2,5,17,23,35,60
213,Presa Canario,<p>The Presa Canario has a calm appearance and attentive expression. He is especially suited to guarding and traditionally used for herding cattle.</p>,Foundation Stock Service,Spain,9-11 years,"Cane Corso, Dogo Argentino, Mastiff, Tosa, Thai Ridgeback",strong-willed / confident / calm,2,2,3,1,1,0,['Smooth'],4,2,1,3,1,1,3,3,22,26,84,110
214,Pudelpointer,"<p>The Pudelpointer is a calm, self-controlled, versatile gun dog with a distinct hunting instinct and lacks game or gun shyness. In his native country of Germany, he has always ranked high in performance tests and in the field. This breed is enjoyed and valued for its desire and drive.</p>",Foundation Stock Service,Germany,14 years,"German Wirehaired Pointer, Wirehaired Pointing Griffon, Wirehaired Vizsla, Slovakian Wirehaired Pointer, German Longhaired Pointer",friendly / smart / willing to please,5,5,3,1,3,0,"['Rough', 'Smooth', 'Wiry']",3,4,3,4,3,3,3,5,22,26,45,70
215,Pug,"Once the mischievous companion of Chinese emperors, and later the mascot of Holland's royal House of Orange, the small but solid Pug is today adored by his millions of fans around the world. Pugs live to love and to be loved in return.",Toy Group,China,13-15 years,"Pekingese, Japanese Chin, French Bulldog, Boston Terrier, Shih Tzu",charming / loving / mischievous,5,5,1,2,5,0,['Smooth'],1,3,4,3,5,5,4,4,10,13,14,18
216,Puli,"<p>No other breed can be mistaken for the Puli, a compact but powerful herder covered from head to tail with profuse, naturally occurring cords. Bred to work closely with humans, these agile and faithful little dynamos are quick learners.</p>",Herding Group,Hungary,10-15 years,"Komondor, Pumi, Croatian Sheepdog, Bergamasco Sheepdog, Polish Lowland Sheepdog",loyal / smart / home-loving,4,5,3,5,3,0,"['Double', 'Corded']",2,3,3,5,3,3,1,5,16,17,25,35
217,Pumi,"A compact, nimble-footed herder of Hungarian origin, the Pumi is easily recognized by a corkscrew-curled coat, two-thirds erect ears, and distinctive whimsical expression. The breed is famed for its intelligence, agility, and boldness.",Herding Group,Hungary,12-13 years,"Puli, Mudi, Romanian Mioritic Shepherd Dog, Croatian Sheepdog, Pyrenean Shepherd",energetic / lively / ready to work,4,5,3,2,3,0,"['Wavy', 'Curly']",2,5,3,5,3,4,1,5,15,18.5,22,29
218,Pyrenean Mastiff,"<p>A centuries-old, rare breed from the Pyrenees Mountains in Spain, this livestock guardian protected flocks from wolves, bears and thieves. After the decline of predators in the region they became property guards and companions. Today, while they are still an effective guardian, many families have found the joy of owning the gentle and loving, yet independent, Pyrenean Mastiff.</p>",Miscellaneous Class,Spain,10-12 years,"Saint Bernard, Estrela Mountain Dog, Tibetan Mastiff, Tornjak, Newfoundland",gentle / brave / noble,3,4,4,3,4,0,['Double'],5,2,4,2,3,3,4,2,28,31,120,190
219,Pyrenean Shepherd,"<p>Enthusiastic, mischievous, and whip-smart, the Pyrenean Shepherd is an indefatigable herder descended from ancient sheepdogs of the Pyrenees mountains. Tough and sinewy Pyr Sheps come in 'rough-faced' and 'smooth-faced' coat varieties.</p>",Herding Group,France,17-19 years,"Berger Picard, Dutch Shepherd, Croatian Sheepdog, Romanian Mioritic Shepherd Dog, Mudi",active / affectionate / enthusiastic,4,5,4,2,3,0,"['Rough', 'Smooth']",2,5,3,5,3,5,3,5,15,21,15,30
220,Rafeiro do Alentejo,"<p>The Rafeiro do Alentejo is an excellent farm and estate watch dog. He is also a very useful livestock protector, being more vigilant at night and very serious when guarding territory or any other property entrusted to him. He has a calm and confident expression.</p>",Foundation Stock Service,Portugal,12-14 years,"Anatolian Shepherd Dog, Kuvasz, Tornjak, Central Asian Shepherd Dog, Caucasian Shepherd Dog",confident / calm / powerful,5,5,2,2,3,0,['Double'],3,3,3,3,3,3,3,5,25,29,77,132
221,Rat Terrier,"An American original, with a breed name said to be coined by Teddy Roosevelt, the Rat Terrier is a compact, tough, smooth-coated exterminator dog. RTs come in two size varieties and are happy-go-lucky, playful, and portable companions.",Terrier Group,United States,12-18 years,"Toy Fox Terrier, Smooth Fox Terrier, American Hairless Terrier, Teddy Roosevelt Terrier, Parson Russell Terrier",friendly / inquisitive / lovable,4,5,3,2,5,0,['Smooth'],1,4,3,5,5,5,3,5,10,18,10,25
222,Redbone Coonhound,"The streamlined Redbone Coonhound, an American original, is even-tempered, mellow, and kindly at home but a tiger on the trail. Vigorous activities like hunting and swimming between long periods of rest is the rhythm of coonhound life.",Hound Group,United States,12-15 years,"American English Coonhound, Bluetick Coonhound, Plott Hound, Black and Tan Coonhound, Treeing Walker Coonhound",eager to please / even-tempered / amiable,4,5,4,2,5,0,['Smooth'],3,3,5,4,3,3,3,3,21,27,45,70
223,Rhodesian Ridgeback,"<p>The Rhodesian Ridgeback is an all-purpose 'Renaissance hound' whose hallmark is the ridge, or stripe of backward-growing hair, on his back. Though the breed was made famous in its native Africa for its skill at tracking and baying, but never, ever killing, &nbsp;lions, today Ridgebacks are cherished family dogs whose owners must be prepared to deal with their independence and strong prey drive.</p>",Hound Group,Zambia/Zimbabwe (formerly Rhodesia),10-12 years,"Boerboel, Thai Ridgeback, Weimaraner, Great Dane, Vizsla",dignified / affectionate / even-tempered,4,5,2,2,5,0,['Smooth'],2,3,3,4,3,3,3,4,24,27,70,85
224,Romanian Carpathian Shepherd,"<p>The Romanian Carpathian Shepherd dog is a natural guardian, very courageous and loyal, distinguishing itself by its unconditional attachment and devotion to the whole family, or the herd it protects and to its master. The Carpathian is a dignified, proud, calm, and balanced dog.</p>",Foundation Stock Service,Romania,12-14 years,Anatolian Shepherd Dog,loyal / brave,3,3,3,2,4,0,['0'],1,2,3,5,3,3,3,1,23,29,70 - 100 lbs,70 - 100 lbs
225,Romanian Mioritic Shepherd Dog,<p>The Romanian Mioritic Shepherd Dog origins come from near the Carpathian Mountains. The breed is very impressive in size and character.</p>,Foundation Stock Service,Romania,12-14 years,"Great Pyrenees, Pyrenean Mastiff, Anatolian Shepherd Dog, Central Asian Shepherd Dog, Tibetan Mastiff",independent / loyal / confident guardian,3,5,1,2,5,0,['Double'],3,3,3,3,1,3,2,3,22.5,29,100,130
226,Rottweiler,"The Rottweiler is a robust working breed of great strength descended from the mastiffs of the Roman legions. A gentle playmate and protector within the family circle, the Rottie observes the outside world with a self-assured aloofness.",Working Group,Germany,9-10 years,"Doberman Pinscher, Staffordshire Bull Terrier, Cane Corso, German Pinscher, German Shepherd Dog",loyal / loving / confident guardian,4,5,1,1,3,0,['Smooth'],3,3,3,5,3,4,3,5,22,27,80,135
227,Russell Terrier,"Upbeat, lively, inquisitive, and friendly, the jaunty Russell Terrier was developed by England's ""Sporting Parson"" for use in foxhunts. The adorable Russell Terrier looks like a plush toy come to life but is an eager, tireless working terrier.",Terrier Group,England,12-14 years,"Parson Russell Terrier, Smooth Fox Terrier, Jagdterrier, Rat Terrier, Wire Fox Terrier",alert / inquisitive / lively,4,5,4,2,3,0,"['Smooth', 'Wiry']",1,5,5,5,5,5,3,3,10,12,9,15
228,Russian Toy,"<p>The Russian Toy is a small, elegant, lively dog with long legs, fine bones and lean muscles. They are active and cheerful, possessing keen intelligence and a desire to please. This breed loves to snuggle and be close to their human companions, although sometimes slightly aloof to strangers. They are neither cowardly nor aggressive.</p>",Toy Group,Russia,12-14 years,"Papillon, Chinese Crested, Manchester Terrier (Toy), Miniature Pinscher, Toy Fox Terrier",loyal / charming / smart,4,5,4,2,3,0,['Double'],1,3,3,3,3,4,3,4,8,11,6.5,6.5
229,Russian Tsvetnaya Bolonka,"<p>Russkaya Tsvetnaya Bolonka translates to ""Russian Colored Lapdog."" Bolonki were originally bred to be the ultimate house pet for apartment living. Sweet, loving, intelligent, and willing to please, he is friendly to all and shows no sign of aggression.</p>",Miscellaneous Class,Russia,14-20 years,"Bolognese, Lhasa Apso, Havanese, Coton de Tulear, Shih Tzu",playful / charming / inquisitive,5,5,1,3,5,0,['Wavy'],1,3,5,1,3,3,3,5,11,11,6,9
230,Saint Bernard,"<p>The Saint Bernard does not rank very high in AKC registrations, but the genial giant of the Swiss Alps is nonetheless among the world's most famous and beloved breeds. Saints are famously watchful and patient companions with a fondness for children.</p>",Working Group,Switzerland,8-10 years,"Pyrenean Mastiff, Bernese Mountain Dog, Tibetan Mastiff, Spanish Mastiff, Caucasian Shepherd Dog",playful / charming / inquisitive,4,5,1,2,5,0,"['Double', 'Rough', 'Smooth']",5,3,3,3,3,3,3,3,26,30,120,180
231,Saluki,"Among the world's oldest breeds, the slim but rugged Saluki was the hunting hound of kings for thousands of years. Salukis are swift and agile sprinters who love a good chase. They make gentle, dignified, and independent but loyal pets.",Hound Group,Middle East,10-17 years,"Sloughi, Azawakh, Pharaoh Hound, Greyhound, Afghan Hound",dignified / gentle / independent-minded,3,5,3,1,3,0,['Smooth'],1,4,3,5,3,3,2,3,23,28,40,65
232,Samoyed,"<p>The Samoyed is a substantial but graceful dog standing anywhere from 19 to a bit over 23 inches at the shoulder. Powerful, tireless, with a thick all-white coat impervious to cold, Sammies are perfectly beautiful but highly functional. Even their most delightful feature, a perpetual smile, has a practical function: The upturned corners of the mouth keep Sammies from drooling, preventing icicles from forming on the face. &nbsp;A Sammy sentenced to solitary confinement in the yard is a miserable and destructive creature. These are smart, social, mischievous dogs who demand love and attention. Sammies need structure in training. Teach them what's expected of them early, and practice it with them often.</p>",Working Group,Siberia,12-14 years,"Yakutian Laika, Siberian Husky, Norwegian Elkhound, Swedish Lapphund, Lapponian Herder",friendly / gentle / adaptable,4,5,5,3,5,0,['Double'],1,4,3,4,5,5,3,4,19,23.5,35,65
233,Schapendoes,"<p>This shaggy sheepdog of Holland is also known as the Dutch Sheep Dog. Schapendoes are cheerful, funny, clever and brave and are very good family pets. They also have a strong desire to please.</p>",Foundation Stock Service,The Netherlands,12-15 years,"Polish Lowland Sheepdog, Bearded Collie, Portuguese Sheepdog, Romanian Mioritic Shepherd Dog, Bergamasco Sheepdog",friendly / watchful / lively,4,5,3,3,3,0,['Double'],2,4,5,4,3,4,2,5,16,20,26,55
234,Schipperke,"The Schipperke, Belgium's ""little captain,"" is the traditional barge dog of the Low Countries. Curious, lively, and intense but mischievous, this little black dog is a robust, long-lived companion for whom there is never a dull moment.",Non-Sporting Group,Belgium,12-16 years,"American Eskimo Dog, German Spitz, Danish-Swedish Farmdog, Brussels Griffon, Keeshond",alert / curious / confident,4,5,4,2,3,0,['Double'],1,3,3,3,3,4,3,4,10,13,10,16
235,Scottish Deerhound,"<p>The crisply coated Scottish Deerhound, 'Royal Dog of Scotland,' is a majestically large coursing hound struck from the ancient Greyhound template. Among the tallest of dog breeds, the Deerhound was bred to stalk the giant wild red deer.</p>",Hound Group,Scotland,8-11 years,"Greyhound, Irish Wolfhound, Otterhound, Afghan Hound, Borzoi",dignified / gentle / polite,3,5,1,1,3,0,"['Double', 'Wiry']",1,3,5,3,3,3,3,3,28,32,75,110
236,Scottish Terrier,"A solidly compact dog of vivid personality, the Scottish Terrier is an independent, confident companion of high spirits. Scotties have a dignified, almost-human character. Their terrier persistence has earned the breed the nickname 'the Diehard.'",Terrier Group,Scotland,12 years,"Skye Terrier, Cairn Terrier, West Highland White Terrier, Soft Coated Wheaten Terrier, Kerry Blue Terrier",independent / confident / spirited,4,5,4,3,3,0,"['Double', 'Wiry']",2,3,2,4,3,4,2,3,10,10,18,22
237,Sealyham Terrier,"The Sealyham Terrier is brave and spirited, but not as spiky as smaller terriers. These sturdy, outgoing companions are recognized by their 'fall,' the mass of hair covering the forehead. Sealy fans enjoy their dog's sly sense of humor.",Terrier Group,Wales,12-14 years,"Glen of Imaal Terrier, Norfolk Terrier, Norwich Terrier, Scottish Terrier, Dandie Dinmont Terrier",alert / outgoing / sense of humor,4,5,4,3,3,0,"['Double', 'Wiry']",1,3,3,4,4,3,3,4,10.5,10.5,23,24
